,Daftar,Poem,Beyt,Mesra1,Mesra2
30,1,1,31,شاد باش ای عشق ِ خوش سودای ما,"ای طبیب جمله علتهای ما
"
31,1,1,32,ای دوای نخوت و ناموس ما,"ای تو افلاطون و جالینوس ما
"
32,1,1,33,جسم ِ خاك از عشق بر افلاك شد,"كوه در رقص آمد و چالاك شد
"
33,1,1,34,عشق، جان طور آمد عاشقا,"طور مست و، خَرّ موسی صاعقا
"
34,1,1,35,ِسّر، پنهان است اندر زیر و بم,"فاش اگر گویم جهان بر هم زنم 
"
35,1,1,36,* آنچه نی میگوید اندر این دو باب,"گر بگویم من، جهان گردد خراب 
"
36,1,1,37,با لب دمساز خود گر جفتمی,"همچو نی من گفتنیها گفتمی 
"
37,1,1,38,هر كه او از همزبانی شد جدا,"بینوا شد، گر چه دارد صد نوا
"
38,1,1,39,چون كه  ُگل رفت و گلستان در گذشت,"نشنوی زآن پس ز بلبل سر گذشت 
"
39,1,1,40,* چونکه  ُگل رفت و گلستان شد خراب,"بوی  ُگل را از که جوئیم؟ از  ُگلاب 
"
40,1,1,41,جمله معشوق است و، عاشق پرده ای,"زنده معشوق است و، عاشق مُرده ای 
"
41,1,1,42,چون نباشد عشق را پروای او,"او چو مرغی ماند بی پر، وای، او
"
42,1,1,43,* پَر و بال ِ ما کمندِ عشق اوست,"مو کشانش میکشد تا کوی دوست 
"
43,1,1,44,من چگونه هوش دارم پیش و پس ؟,"چون نباشد نور یارم پیش و پس 
"
44,1,1,45,* نور او در یَمن و یَسر و تحت و فوق,"بر سر و بر گردنم چون تاج و طوق 
"
45,1,1,46,عشق خواهد كاین سخن بیرون بود,"آینه غمّاز نبود، چون بود ؟
"
46,1,1,47,آینه ات دانی چرا غمّاز نیست ؟,"زآنکه زنگار از رخش ممتاز نیست
"
47,1,1,48,* آینه کز زنگ آلایش جُداست,"پُر شعاع نور خورشید خداست 
"
48,1,1,49,رو تو زنگار از رُخ او پاک کن,"بعد از آن، آن نور را ادراک کن 
"
49,1,1,50,* این حقیقت را شنو از گوش ِ دل,"تا برون آئی به کلی، زآب و گِل 
"
50,1,1,51,* فهم اگر دارید، جان را ره دهید,"بعد از آن، از شوق، پا در ره نهید 
"
51,1,2,1,بشنوید ای دوستان این داستان,"خود حقیقت نقد حال ماست آن 
"
52,1,2,2,* نقد حال خویش را گر پی بریم,"هم زدنیا، هم ز عقبی، بر خوریم 
"
53,1,2,3,بود شاهی در زمانی پیش از این,"ملك دنیا بودش و، هم ملك دین 
"
54,1,2,4,اتفاقا شاه روزی شد سوار,"با خواص خویش از بهر شكار
"
55,1,2,5,* بهر صیدی میشد او بر کوه و دشت,"ناگهان در دام ِ عشق او صید گشت 
"
56,1,2,6,یك كنیزك دید شه بر شاه راه,"شد غلام آن كنیزك جان ِ شاه 
"
57,1,2,7,مرغ جانش در قفس چون می طپید,"داد مال و آن كنیزك را خرید
"
58,1,2,8,چون خرید او را و برخوردار شد,"آن كنیزك از قضا بیمار شد
"
59,1,2,9,آن یكی خر داشت، پالانش نبود,"یافت پالان، گرگ، خر را در ربود
"
60,1,2,10,كوزه بودش، آب می نامد به دست,"آب را چون یافت، خود كوزه شكست 
"
61,1,2,11,شه طبیبان جمع كرد از چپ و راست,"گفت: جان هر دو در دست شماست 
"
62,1,2,12,جان من سهل است، جان جانم اوست,"دردمند و خسته ام، درمانم اوست 
"
63,1,2,13,هر كه درمان كرد مر  جان مرا,"برد گنج و دُرّ و مرجان مرا
"
64,1,2,14,جمله گفتندش: كه جانبازی كنیم,"فهم گرد آریم و انبازی كنیم 
"
65,1,2,15,هر یكی از ما مسیح عالمی است,"هر الم را در كف ما مرهمی است 
"
66,1,2,16,"""گر خدا خواهد"" نگفتند از بطر","پس خدا بنمودشان عجز بشر
"
67,1,2,17,تركِ استثنا، مرادم قسوتی است,"نی همین گفتن، كه عارض حالتی است 
"
68,1,2,18,ای بسا ناورده استثنا، به  گفت,"جان او با جان استثناست جفت 
"
69,1,2,19,هر چه كردند از علاج و از دوا,"گشت رنج افزون و حاجت ناروا
"
70,1,2,20,آن كنیزك از مرض چون موی شد,"چشم شاه از اشكِ خون چون جوی شد
"
71,1,2,21,* چون قضا آید، طبیب ابله شود,"آن دوا در نفع خود گمره شود 
"
72,1,2,22,از قضا سركنگبین صفرا فزود,"روغن بادام خشكی مینمود
"
73,1,2,23,از هلیله قبض شد، اطلاق رفت,"آب آتش را مدد شد همچو نفت 
"
74,1,2,24,* سستی دل شد فزون و خواب کم,"سوزش چشم و دل پر درد و غم 
"
75,1,2,25,* شربت و ادویه و اسباب او,"از طبیبان ریخت یکسر آب رو 
"
76,1,3,1,شه چو عجز آن طبیبان را بدید,"پا برهنه جانب مسجد دوید
"
77,1,3,2,رفت در مسجد، سوی محراب شد,"سجده گاه از اشك شه پر آب شد
"
78,1,3,3,چون به خویش آمد ز غرقاب فنا,"خوش زبان بگشاد در مدح و ثنا
"
79,1,3,4,كای كمینه بخششت ملك جهان,"من چه گویم؟ چون تو میدانی نهان 
"
80,1,3,5,* حال ما و این طبیبان، سر بسر,"پیش لطفِ عام ِ تو باشد هدر 
"
81,1,3,6,ای همیشه حاجت ما را پناه,"بار دیگر ما غلط كردیم راه 
"
82,1,3,7,لیك گفتی: گر چه میدانم سِرَت,"زود هم پیدا كنش بر ظاهرت 
"
83,1,3,8,چون بر آورد از میان جان خروش,"اندر آمد بحر بخشایش به جوش 
"
84,1,3,9,در میان گریه خوابش در ربود,"دید در خواب او، كه پیری رو نمود
"
85,1,3,10,گفت: ای شه مژده، حاجاتت رواست,"گر غریبی آیدت فردا ز ماست 
"
86,1,3,11,چونكه آید، او حكیم ِ حاذق است,"صادقش دان، کاو امین و صادق است 
"
87,1,3,12,در علاجش سحر مطلق را ببین,"در مزاجش قدرت حق را ببین 
"
88,1,3,13,* خفته بود، آن خواب دید، آگاه شد,"گشته مملوک کنیزک، شاه شد 
"
89,1,3,14,چون رسید آن وعده گاه و روز شد,"آفتاب از شرق، اختر سوز شد
"
90,1,3,15,بود اندر منظره شه منتظر,"تا ببیند آنچه بنمودند سر
"
91,1,3,16,دید شخصی، کاملی، پُر مایه ای,"آفتابی در میان سایه ای 
"
92,1,3,17,میرسید از دور مانند هلال,"نیست بود و هست، بر شكل خیال 
"
93,1,3,18,نیست وش باشد خیال اندر جهان,"تو جهانی بر خیالی بین روان 
"
94,1,3,19,بر خیالی صلحشان و جنگشان,"واز خیالی فخرشان و ننگشان 
"
95,1,3,20,آن خیالاتی كه دام اولیاست,"عكس مه رویان بُستان خداست 
"
96,1,3,21,آن خیالی را كه شه در خواب دید,"در رُخ مهمان همی آمد پدید
"
97,1,3,22,* نور حق ظاهر بود اندر ولی,"نیک بین باشی، اگر اهل دلی 
"
98,1,3,23,* آن ولی حق چو پیدا شد ز دور,"از سر و پایش همی میتافت نور 
"
99,1,3,24,شه به جای حاجیان واپیش رفت,"پیش آن مهمان غیب خویش رفت 
"
100,1,3,25,* ضیف غیبی را چو استقبال کرد,"چون شکر گوئی که پیوست او بورد 
"
101,1,3,26,هر دو بحری آشنا آموخته,"هر دو جان، بی دوختن بر دوخته 
"
102,1,3,27,* آن یکی چون تشنه، وآندیگر چو آب,"آن یکی مخمور و، آن دیگر شراب 
"
103,1,3,28,گفت: معشوقم تو بودستی نه آن,"لیك كار از كار خیزد در جهان 
"
104,1,3,29,ای مرا تو مصطفی، من چون عمر,"از برای خدمتت بندم كمر
"
105,1,4,1,از خدا جوئیم توفیق ادب,"بی ادب محروم ماند از لطف رب 
"
106,1,4,2,بی ادب تنها نه خود را داشت بد,"بلكه آتش در همه آفاق زد
"
107,1,4,3,مائده از آسمان در میرسید,"بی شری و بیع و بی گفت و شنید
"
108,1,4,4,در میان قوم موسی چند كس,"بی ادب گفتند: كو سیر و عدس؟ 
"
109,1,4,5,منقطع شد خوان و نان از آسمان,"ماند رنج زرع و بیل و داسمان 
"
110,1,4,6,باز عیسی چون شفاعت كرد، حق,"خوان فرستاد و غنیمت بر طبق 
"
111,1,4,7,* مائده از آسمان شد عائده,"چونکه گفت: انزل علینا مائده 
"
112,1,4,8,باز گستاخان ادب بگذاشتند,"چون گدایان زله ها برداشتند
"
113,1,4,9,کرد عیسی لابه ایشان را كه این,"دائم است و كم نگردد از زمین 
"
114,1,4,10,بد گمانی كردن و حرص آوری,"كفر باشد نزد خوان مهتری 
"
115,1,4,11,زآن گدا رویان نادیده ز آز,"آن در رحمت بر ایشان شد فراز
"
116,1,4,12,* نان و خوان از آسمان شد منقطع,"بعد از آن زآن خوان نشد کس منتفع 
"
117,1,4,13,ابر برناید پی منع زكات,"وز زنا افتد وبا اندر جهات 
"
118,1,4,14,هر چه بر تو آید از ظلمات و غم,"آن ز بی باكی و گستاخیست هم 
"
119,1,4,15,هر كه بی باكی كند در راه دوست,"ره زن مردان شد و، نامرد اوست 
"
120,1,4,16,از ادب پر نور گشتست این فلك,"وز ادب معصوم و پاك آمد ملك 
"
121,1,4,17,بُد ز گستاخی كسوف آفتاب,"شد عزازیلی ز جرات رد باب
"
122,1,4,18,* هر که گستاخی کند اندر طریق,"گردد اندر وادی حیرت غریق 
"
123,1,4,19,* حال شاه و میهمان برگو تمام,"زآنکه پایانی ندارد این کلام 
"
124,1,5,1,* شه چو پیش میهمان خویش رفت,"شاه بود او، لیک بس درویش رفت 
"
125,1,5,2,دست بگشاد و كنارانش گرفت,"همچو عشق اندر دل و جانش گرفت 
"
126,1,5,3,دست و پیشانیش بوسیدن گرفت,"از مقام و راه پرسیدن گرفت 
"
127,1,5,4,پرس پرسان می كشیدش تا به صدر,"گفت: گنجی یافتم آخر به صبر
"
128,1,5,5,* صبر تلخ آمد، ولیکن عاقبت,"میوۀ شیرین دهد، پر منفعت 
"
129,1,5,6,گفت: ای نور حق و دفع حرج,"معنی ""الصبر مفتاح الفرج"" 
"
130,1,5,7,ای لقای تو جواب هر سؤال,"مشكل از تو حل شود بی قیل و قال 
"
131,1,5,8,ترجمانی هر چه ما را در دل است,"دست گیری هر كه پایش در گِل است 
"
132,1,5,9,مرحبا یا مجتبی یا مرتضی,"""إن تغب جاء القضاء ضاق الفضا""
"
133,1,5,10,أنت مولی القوم من لا یشتهی,"قد ردی كَلَّا لَئِنْ لَمْ ینته 
"
134,1,6,1,چون گذشت آن مجلس و خوان ِ كرم,"دست او بگرفت و بُرد اندر حرم 
"
135,1,6,2,قصۀ رنجور و رنجوری بخواند,"بعد از آن در پیش رنجورش نشاند
"
136,1,6,3,رنگ رو و نبض و قاروره بدید,"هم علاماتش، هم اسبابش شنید
"
137,1,6,4,گفت: هر دارو كه ایشان كرده اند,"آن عمارت نیست ویران كرده اند
"
138,1,6,5,بی خبر بودند از حال درون,"أستعیذ الله مما یفترون 
"
139,1,6,6,دید رنج و، كشف شد بر وی نهفت,"لیك پنهان كرد و، با سلطان نگفت 
"
140,1,6,7,رنجش از صفرا و از سودا نبود,"بوی هر هیزم پدید آید ز دود
"
141,1,6,8,دید از زاریش، كاو زار دل است,"تن خوش است و، او گرفتار دل است 
"
142,1,6,9,عاشقی پیداست از زاری دل,"نیست بیماری چو بیماری دل 
"
143,1,6,10,علت عاشق ز علتها جداست,"عشق اصطرلاب اسرار خداست 
"
144,1,6,11,عاشقی گر زین سر و، گر زان سر است,"عاقبت ما را بدان شه رهبر است 
"
145,1,6,12,هر چه گویم عشق را شرح و بیان,"چون به عشق آیم خجل گردم از آن 
"
146,1,6,13,گر چه تفسیر زبان روشنگر است,"لیك عشق بی زبان روشنتر است 
"
147,1,6,14,چون قلم اندر نوشتن می شتافت,"چون به عشق آمد، قلم بر خود شكافت 
"
148,1,6,15,* چون سخن در وصف این حالت رسید,"هم قلم بشکست و هم کاغذ درید 
"
149,1,6,16,عقل در شرحش چو خر در گِل بخفت,"شرح عشق و عاشقی هم عشق گفت 
"
150,1,6,17,آفتاب آمد دلیل آفتاب,"گر دلیلت باید، از وی رو متاب 
"
151,1,6,18,از وی ار سایه نشانی میدهد,"شمس هر دم نور جانی میدهد
"
152,1,6,19,سایه خواب آرد تو را همچون سمر,"چون بر آید شمس انْشَقَّ القمر
"
153,1,6,20,خود غریبی در جهان چون شمس نیست,"شمس ِ جان باقیی كش امس نیست 
"
154,1,6,21,شمس در خارج اگر چه هست فرد,"مثل آن هم میتوان تصویر كرد
"
155,1,6,22,لیک شمسی که از او شد هست اثیر,"نبودش در ذهن و در خارج نظیر
"
156,1,6,23,در تصور، ذات او را،  ُگنج كو ؟,"تا در آید در تصور مثل او
"
157,1,6,24,* شمس تبریزی که نور مطلق است,"آفتاب است و ز انوار حق است 
"
158,1,6,25,چون حدیث روی شمس الدین رسید,"شمس چارم آسمان سر در كشید
"
159,1,6,26,واجب آمد چونكه بُردم نام او,"شرح كردن رمزی از انعام او
"
160,1,6,27,این نفس جان، دامنم بر تافتست,"بوی پیراهان یوسف یافتست 
"
161,1,6,28,کز برای حق صحبت سالها,"باز گو رمزی از آن خوش حالها
"
162,1,6,29,تا زمین و آسمان خندان شود,"عقل و روح و دیده صد چندان شود
"
163,1,6,30,* گفتم: ای دور اوفتاده از حبیب,"همچو بیماری که دور است از طبیب 
"
164,1,6,31,لا تكلفنی فإنی فی الفنا,"كلت أفهامی فلا أحصی ثنا
"
165,1,6,32,كل شیئی قاله غیر المفیق,"إن تكلف أو تصلف لا یلیق 
"
166,1,6,33,* هر چه میگوید موافق چون نبود,"چون تکلف نیک نالایق نبود 
"
167,1,6,34,من چه گویم؟ یك رگم هشیار نیست,"شرح آن یاری كه او را یار نیست 
"
168,1,6,35,* خود ثنا گفتن ز من، ترک ثناست,"کاین دلیل هستی و هستی خطاست 
"
169,1,6,36,شرح این هجران و این خون جگر,"این زمان بگذار تا وقت دگر
"
170,1,6,37,قال أطعمنی فإنی جائع,"و اعتجل فالوقت سیف قاطع 
"
171,1,6,38,صوفی ابن الوقت باشد ای رفیق,"نیست فردا گفتن از شرط طریق 
"
172,1,6,39,* صوفی ابن الحال باشد در مثال,"گرچه هر دو فارقند از ماه و سال 
"
173,1,6,40,تو مگر خود مرد صوفی نیستی؟,"هست را از نسیه خیزد نیستی 
"
174,1,6,41,گفتمش پوشیده خوشتر سرّ یار,"خود تو در ضمن حكایت گوش دار
"
175,1,6,42,خوشتر آن باشد كه سرّ دلبران,"گفته آید در حدیث دیگران 
"
176,1,6,43,گفت: مكشوف و برهنه بی غلول,"باز گو زجرم مده ای بوالفضول
"
177,1,6,44,باز گو اسرار و رمز مرسلین,"آشكارا به كه پنهان ذكر دین 
"
178,1,6,45,پرده بردار و برهنه گو كه من,"می نگنجم با صنم در پیرهن 
"
179,1,6,46,گفتم: ار عریان شود او در عیان,"نی تو مانی، نی كنارت، نی میان 
"
180,1,6,47,آرزو میخواه، لیك اندازه خواه,"بر نتابد كوه را یك برگِ كاه 
"
181,1,6,48,آفتابی كز وی این عالم فروخت,"اندكی گر بیش تابد، جمله سوخت 
"
182,1,6,49,فتنه و آشوب و خون ریزی مجوی,"بیش از این از شمس تبریزی مگوی 
"
183,1,6,50,این ندارد آخر، از آغاز گوی,"رو تمام این حكایت باز گوی 
"
184,1,6,51,* تا نگردد خون دل و جان جهان,"لب بدوز و دیده بر بند این زمان 
"
185,1,6,52,فتنه و آشوب و خون ریزی مجو,"بیش از این از شمس تبریزی مگو 
"
186,1,6,53,این ندارد آخر از آغاز گو,"رو تمام آن حکایت باز گو
"
187,1,7,1,* چون حکیم از این سخن آگاه شد,"وز درون همداستان شاه شد 
"
188,1,7,2,گفت: ای شه، خلوتی كن خانه را,"دور كن هم خویش و هم بیگانه را
"
189,1,7,3,كس ندارد گوش در دهلیزها,"تا بپرسم از كنیزك چیزها
"
190,1,7,4,* خانه خالی کرد شاه و شد برون,"تا بپرسد از کنیزک او فسون 
"
191,1,7,5,خانه خالی ماند و، یك دیار نی,"جز طبیب و جز همان بیمار، نی 
"
192,1,7,6,نرم نرمك گفت: شهر تو كجاست؟,"كه علاج اهل هر شهری جداست 
"
193,1,7,7,واندر آن شهر از قرابت كیستت؟,"خویشی و پیوستگی با چیستت؟ 
"
194,1,7,8,دست بر نبضش نهاد و یك به یك,"باز میپرسید از جور فلك 
"
195,1,7,9,چون كسی را خار در پایش خلد,"پای خود را بر سر زانو نهد
"
196,1,7,10,وز سر سوزن، همی جوید سرش,"ور نیابد میكند با لب ترش 
"
197,1,7,11,خار در پا شد چنین دشوار یاب,"خار در دل چون بود؟ واده جواب 
"
198,1,7,12,خار دل را گر بدیدی هر خسی,"دست كی بودی غمان را بر كسی 
"
199,1,7,13,كس به زیر دم خر، خاری نهد,"خر نداند دفع آن، بر میجهد
"
200,1,7,14,خر ز بهر دفع خار، از سوز و درد,"جفته می انداخت، صد جا زخم كرد
"
201,1,7,15,* آن لگد، کی دفع خار او کند؟,"حاذقی باید که بر مرکز تند 
"
202,1,7,16,بر جهد آن خار محكمتر زند,"عاقلی باید كه خاری بر كند
"
203,1,7,17,آن حكیم خارچین استاد بود,"دست میزد، جا به جا می آزمود
"
204,1,7,18,زآن كنیزك بر طریق داستان,"باز می پرسید حال دوستان 
"
205,1,7,19,با حكیم او رازها میگفت فاش,"از مقام و خواجگان و شهر تاش 
"
206,1,7,20,سوی قصه گفتنش میداشت گوش,"سوی نبض و جستنش میداشت هوش 
"
207,1,7,21,تا كه نبض از نام كی گردد جهان,"او بود مقصود جانش در جهان 
"
208,1,7,22,دوستان شهر او را بر شمرد,"بعد از آن شهر دگر را نام برد
"
209,1,7,23,گفت: چون بیرون شدی از شهر خویش,"در كدامین شهر میبودی تو بیش؟ 
"
210,1,7,24,نام شهری گفت و زآن هم در گذشت,"رنگ روی و نبض او دیگر نگشت 
"
211,1,7,25,خواجگان و شهرها را یك به یك,"باز گفت از جای و از نان و نمك 
"
212,1,7,26,شهر شهر و خانه خانه قصه كرد,"نی رگش جنبید و، نی رخ گشت زرد
"
213,1,7,27,نبض او بر حال خود بُد بی گزند,"تا بپرسید از سمرقند چو قند
"
214,1,7,28,* آه سردی برکشید آن ماه روی,"آب از چشمش روان شد همچو جوی 
"
215,1,7,29,* گفت: بازرگانم آنجا آورید,"خواجه ای زرگر در آن شهرم خرید 
"
216,1,7,30,* در بر خود داشت ششماه و فروخت,"چون بگفت این، زآتش غم برفروخت 
"
217,1,7,31,نبض جست و روی سرخ و زرد شد,"كز سمرقندی، زرگر فرد شد
"
218,1,7,32,چون ز رنجور آن حكیم این راز یافت,"اصل آن درد و بلا را باز یافت 
"
219,1,7,33,گفت: كوی او كدام است در گذر,"او سر پل گفت و كوی غاتفر
"
220,1,7,34,* گفت آنگه، آن حکیم با صواب,"آن کنیزک را، که رستی از عذاب 
"
221,1,7,35,گفت: دانستم كه رنجت چیست، زود,"در علاجت سحرها خواهم نمود
"
222,1,7,36,شاد باش و فارغ و ایمن، كه من,"آن كنم با تو، كه باران با چمن 
"
223,1,7,37,من غم تو میخورم، تو غم مخَر,"بر تو من مشفق ترم از صد پدر
"
224,1,7,38,هان و هان این راز را با كس مگو,"گر چه شاه از تو كند بس جستجو
"
225,1,7,39,* تا توانی پیش کس مگشای راز,"بر کسی این در مکن زنهار باز 
"
226,1,7,40,چون كه اسرارت نهان در دل شود,"آن مرادت زودتر حاصل شود
"
227,1,7,41,گفت پیغمبر: هر آنکو سر نهفت,"زود گردد با مراد خویش جفت 
"
228,1,7,42,دانه چون اندر زمین پنهان شود,"سِرّ آن، سر سبزی بستان شود
"
229,1,7,43,زرّ و نقره گر نبودندی نهان,"پرورش كی یافتندی زیر كان ؟ 
"
230,1,7,44,وعده ها و لطفهای آن حكیم,"كرد آن رنجور را ایمن ز بیم 
"
231,1,7,45,وعده ها باشد حقیقی دل پذیر,"وعده ها باشد مجازی تاسه گیر
"
232,1,7,46,وعدۀ اهل كرم گنج روان,"وعدۀ نااهل شد رنج روان 
"
233,1,7,47,* وعده را باید وفا کردن تمام,"ور نخواهی کرد، باشی سرد و خام 
"
234,1,8,1,* آن حکیم مهربان چون راز یافت,"صورت رنج کنیزک باز یافت 
"
235,1,8,2,بعد از آن برخاست، عزم شاه كرد,"شاه را زآن شمه ای آگاه كرد
"
236,1,8,3,* شاه گفت: اکنون بگو تدبیر چیست؟,"در چنین غم، موجب تأخیر چیست؟ 
"
237,1,8,4,گفت: تدبیر آن بود، كان مرد را,"حاضر آریم از پی این درد را
"
238,1,8,5,* تا شود محبوب تو خوشدل، بدو,"گردد آسان این همه مشکل، بدو 
"
239,1,8,6,* قاصدی بفرست کاخبارش کنند,"طالب این فضل و ایثارش کنند 
"
240,1,8,7,مرد زرگر را بخوان زآن شهر دور,"با زر و خلعت بده او را غرور
"
241,1,8,8,* چون ببیند سیم و زر، آن بینوا,"بهر زر، گردد ز خان و مان جدا 
"
242,1,8,9,* زر خرد را واله و شیدا کند,"خاصه مفلس را که خوش رسوا کند 
"
243,1,8,10,* زر اگر چه عقل میآرد، ولیک,"مردِ عاقل یابد او را نیک نیک 
"
244,1,9,1,* چونکه سلطان از حکیم آنرا شنید,"پند او را از دل و از جان شنید 
"
245,1,9,2,* گفت: فرمان تو را، فرمان کنم,"هر چه گوئی آنچنان کن، آن کنم 
"
246,1,9,3,پس فرستاد آن طرف یك دو رسول,"حاذقان و كافیان بس عدول 
"
247,1,9,4,تا سمرقند آمدند آن دو امیر,"پیش آن زرگر ز شاهنشه بشیر
"
248,1,9,5,كای لطیف استاد كامل معرفت,"فاش اندر شهرها از تو صفت 
"
249,1,9,6,نك فلان شه، از برای زرگری,"اختیارت كرد، زیرا مهتری 
"
250,1,9,7,اینك این خلعت بگیر و زر و سیم,"چون بیایی خاص باشی و ندیم 
"
251,1,9,8,مرد، مال و خلعت بسیار دید,"غره شد، از شهر و فرزندان بُرید
"
252,1,9,9,اندر آمد شادمان در راه مرد,"بی خبر كان شاه، قصد جانش كرد
"
253,1,9,10,اسب تازی بر نشست و شاد تاخت,"خونبهای خویش را خلعت شناخت 
"
254,1,9,11,ای شده اندر سفر با صد رضا,"خود به پای خویش تا سوء القضا
"
255,1,9,12,در خیالش ملك و عز و مهتری,"گفت عزرائیل: رو آری بری 
"
256,1,9,13,چون رسید از راه آن مرد غریب,"اندر آوردش به پیش شه طبیب 
"
257,1,9,14,سوی شاهنشاه بردش خوش به ناز,"تا بسوزد بر سر شمع طراز
"
258,1,9,15,شاه دید او را و بس تعظیم كرد,"مخزن زر را بدو تسلیم كرد
"
259,1,9,16,* پس بفرمودش که بر سازد ز زر,"از سوار و طوق و خلخال و کمر 
"
260,1,9,17,* هم ز انواع اوانی بی عدد,"کانچنان در بزم شاهنشه سزد 
"
261,1,9,18,* زر گرفت آنمرد و شد مشغول کار,"بیخبر زاینحالت و این کار زار 
"
262,1,9,19,پس حكیمش گفت: كای سلطان مه,"آن كنیزك را بدین خواجه بده 
"
263,1,9,20,تا كنیزك در وصالش خوش شود,"زآب وصلش، دفع این آتش شود
"
264,1,9,21,شه بدو بخشید آن مه روی را,"جفت كرد آن هر دو صحبت جوی را
"
265,1,9,22,مدت شش ماه میراندند كام,"تا به صحت آمد آن دختر تمام 
"
266,1,9,23,بعد از آن از بهر او شربت بساخت,"تا بخورد و پیش دختر میگداخت 
"
267,1,9,24,چون ز رنجوری جمال او نماند,"جان دختر در وبال او نماند
"
268,1,9,25,چون كه زشت و ناخوش و رخ زرد شد,"اندك اندك در دل او سرد شد
"
269,1,9,26,عشقهایی كز پی رنگی بود,"عشق نبود، عاقبت ننگی بود
"
270,1,9,27,كاش كان هم ننگ بودی یك سری,"تا نرفتی بر وی آن بد داوری 
"
271,1,9,28,خون دوید از چشم همچون جوی او,"دشمن جان وی آمد، روی او
"
272,1,9,29,دشمن طاوس آمد، پرّ او,"ای بسا شه را بكشته، فرّ او
"
273,1,9,30,* چونکه زرگر از مرض بد حال شد,"وز گدازش شخص او چون نال شد 
"
274,1,9,31,گفت: من آن آهویم كز ناف من,"ریخت آن صیاد خون صاف من 
"
275,1,9,32,ای من آن روباهِ صحرا، كز كمین,"سر بریدندم برای پوستین 
"
276,1,9,33,ای من آن پیلی كه زخم پیل بان,"ریخت خونم از برای استخوان 
"
277,1,9,34,آن كه كشتستم پی مادون من,"مینداند كه نخسبد خون من 
"
278,1,9,35,بر من است امروز و فردا بر وی است,"خون چون من كس، چنین ضایع كی است؟ 
"
279,1,9,36,گر چه دیوار افكند سایۀ دراز,"باز گردد سوی او آن سایه باز
"
280,1,9,37,این جهان كوه است و فعل ما ندا,"سوی ما آید نداها را صدا
"
281,1,9,38,این بگفت و رفت در دم زیر خاك,"آن كنیزك شد ز عشق و رنج پاك 
"
282,1,9,39,زآنكه عشق مردگان پاینده نیست,"زآنكه مرده سوی ما آینده نیست 
"
